,Label,VehicleID,Distance_driven,Sum_warning,Sum_warning_speed,Sum_secure_dist,Sum_TTC_respect,Sum_safe_dist,Sum_Emergency_Brake
2551,Normal,normal877,4295.2975951244625,274,22,16,3,233,0
2552,Slow,slow872,1281.2709031948464,3,1,0,2,0,0
2553,Dangerous,dang875,2086.119552441679,165,65,59,3,38,0
2554,Normal,normal878,4512.237275697293,8,0,2,2,4,0
2555,Slow,slow873,5667.04265911601,7,0,1,6,0,0
2556,Dangerous,dang870,4431.668422160318,377,27,221,6,122,1
2557,Dangerous,dang876,6363.872074855224,348,91,182,7,64,4
2558,Slow,slow874,5783.446548351061,3,0,0,3,0,0
2559,Dangerous,dang877,4303.7519397832575,235,59,103,14,49,10
2560,Normal,normal880,5073.2027218306,264,3,16,5,240,0
2561,Slow,slow875,2097.911458414313,1,0,0,1,0,0
2562,Dangerous,dang878,4510.79011748184,78,56,21,0,1,0
2563,Normal,normal881,2206.301926297987,32,2,5,0,25,0
2564,Slow,slow870,4423.212663950094,7,0,2,5,0,0
2565,Slow,slow871,4195.1112810963305,2,0,0,0,0,2
2566,Slow,slow876,3856.36552172852,2,0,0,2,0,0
2567,Normal,normal882,3377.1509339828485,15,11,0,2,2,0
2568,Slow,slow877,4293.210681329495,15,0,7,8,0,0
2569,Dangerous,dang880,5067.515506845332,349,36,181,12,116,4
2570,Slow,slow878,4510.640604256428,22,0,1,2,19,0
2571,Dangerous,dang881,2212.304903602442,152,22,89,9,31,1
2572,Normal,normal884,4824.446292694995,1,0,0,0,1,0
2573,Dangerous,dang882,3391.4917873644026,95,32,54,0,9,0
2574,Normal,normal879,3170.8828368322056,38,4,7,4,23,0
2575,Normal,normal885,3829.2248042411265,13,1,2,4,5,1
2576,Slow,slow880,3539.1277162133015,9,0,1,8,0,0
2577,Normal,normal886,2326.906502189749,46,37,9,0,0,0
2578,Slow,slow881,2212.7709838198834,0,0,0,0,0,0
2579,Dangerous,dang884,4818.907640071582,76,0,69,3,4,0
2580,Normal,normal887,1968.778289117176,1,1,0,0,0,0
2581,Slow,slow882,3373.157414758902,9,0,3,6,0,0
2582,Dangerous,dang879,3179.0249359169516,221,66,94,6,51,4
2583,Dangerous,dang885,3832.510957342814,126,13,61,5,46,1
2584,Normal,normal888,2331.920961880121,27,16,0,2,9,0
2585,Dangerous,dang886,2316.9657959192136,153,42,107,3,0,1
2586,Normal,normal889,3055.454164556665,1,0,1,0,0,0
2587,Slow,slow884,4819.4642280238695,0,0,0,0,0,0
2588,Dangerous,dang887,2113.6698859488883,100,1,47,8,44,0
2589,Normal,normal838,3938.2170122009593,86,1,7,5,72,1
2590,Normal,normal890,1322.0355016690412,2,2,0,0,0,0
2591,Slow,slow879,3180.200892337759,7,0,2,5,0,0
