,Label,VehicleID,Distance_driven,Sum_warning,Sum_warning_speed,Sum_secure_dist,Sum_TTC_respect,Sum_safe_dist,Sum_Emergency_Brake
571,Dangerous,dang193,4012.903666454627,48,46,0,0,0,2
572,Normal,normal194,4956.258789233741,12,10,0,0,0,2
573,Slow,slow193,3970.2964313220486,0,0,0,0,0,0
574,Normal,normal195,4164.455992257911,3,2,0,0,0,1
575,Dangerous,dang195,4168.704351601886,120,19,67,0,34,0
576,Dangerous,dang194,4961.424678261471,381,68,78,10,222,3
577,Slow,slow195,4168.941780119563,0,0,0,0,0,0
578,Normal,normal196,4535.612624560562,58,56,0,0,0,2
579,Normal,normal197,3465.3513694710523,1,1,0,0,0,0
580,Slow,slow194,4954.354355395891,1,0,0,0,0,1
581,Dangerous,dang196,4548.630164468259,124,47,61,2,13,1
582,Dangerous,dang197,3478.7570651997585,81,63,17,0,1,0
583,Slow,slow196,4534.942528997664,2,0,0,0,0,2
584,Normal,normal198,3500.041177747871,18,17,0,0,0,1
585,Slow,slow197,3446.8568447018242,1,0,0,0,0,1
586,Dangerous,dang198,3540.3629065415903,155,44,68,6,37,0
587,Normal,normal199,2667.614534209561,83,82,0,0,0,1
588,Slow,slow198,3508.1757519327607,1,0,0,0,0,1
589,Dangerous,dang199,2875.7528079384383,16,1,14,0,1,0
590,Normal,normal200,4169.579706478527,4,3,0,0,0,1
591,Slow,slow199,2660.043172265408,0,0,0,0,0,0
592,Normal,normal201,4659.704211061877,2,2,0,0,0,0
593,Dangerous,dang201,4662.6241114273935,165,15,143,1,6,0
594,Normal,normal202,574.7344883447853,8,8,0,0,0,0
595,Slow,slow201,4664.527871261533,0,0,0,0,0,0
596,Dangerous,dang202,566.5398604449086,32,8,24,0,0,0
597,Normal,normal203,4159.273134648535,15,15,0,0,0,0
598,Slow,slow202,570.6840479753195,0,0,0,0,0,0
599,Dangerous,dang200,4159.5570894744105,193,44,93,8,45,3
600,Dangerous,dang203,4341.585035587538,25,16,8,0,1,0
601,Normal,normal204,3813.8514577335745,0,0,0,0,0,0
602,Slow,slow203,4153.982707208553,1,0,0,0,0,1
603,Dangerous,dang204,3806.2797593021023,121,0,18,6,97,0
604,Normal,normal205,5450.086041051774,4,4,0,0,0,0
605,Slow,slow204,3812.438905579229,0,0,0,0,0,0
606,Dangerous,dang205,5451.269382986145,200,9,115,8,65,3
607,Normal,normal206,4068.649166133649,22,21,0,0,0,1
608,Slow,slow205,5436.273687627415,0,0,0,0,0,0
609,Dangerous,dang206,4106.553458477827,120,24,69,0,27,0
610,Normal,normal207,2422.786474795806,2,2,0,0,0,0
611,Slow,slow206,4065.4734026877254,0,0,0,0,0,0
612,Dangerous,dang207,2427.7793328878643,39,19,18,0,2,0
613,Normal,normal208,5536.075241364521,5,5,0,0,0,0
614,Slow,slow207,2422.642151772832,0,0,0,0,0,0
615,Dangerous,dang208,5530.144846960639,117,49,38,12,16,2
616,Normal,normal209,5353.486835316182,16,16,0,0,0,0
617,Dangerous,dang209,5441.038643517645,184,7,125,0,50,2
618,Slow,slow208,5533.793048382151,1,0,0,0,0,1
619,Slow,slow209,5341.179860607358,1,0,0,0,0,1
620,Normal,normal211,5037.597154347289,5,5,0,0,0,0
621,Dangerous,dang211,5086.849121252543,203,42,123,1,36,1
622,Normal,normal212,1395.1813982074516,0,0,0,0,0,0
623,Slow,slow211,4970.721307619431,0,0,0,0,0,0
624,Dangerous,dang212,1392.116725738666,114,0,67,2,44,1
625,Normal,normal213,2436.8196979672257,5,5,0,0,0,0
626,Slow,slow200,4164.720267644894,0,0,0,0,0,0
627,Slow,slow212,1393.625500783811,0,0,0,0,0,0
628,Dangerous,dang213,2459.3165145248954,58,40,17,0,1,0
629,Normal,normal214,4058.029464377427,1,0,0,0,0,1
630,Slow,slow213,2438.827280677724,4,4,0,0,0,0
631,Dangerous,dang214,4057.220426894305,187,187,0,0,0,0
632,Normal,normal215,5019.636036852552,1,1,0,0,0,0
633,Slow,slow214,4052.960162233566,0,0,0,0,0,0
634,Dangerous,dang215,5020.729526932681,130,24,68,0,38,0
635,Normal,normal216,244.0161613276639,0,0,0,0,0,0
636,Slow,slow215,5013.147657893391,1,0,0,0,0,1
637,Dangerous,dang216,240.20021901968803,15,1,14,0,0,0
638,Normal,normal217,749.5450375506827,6,6,0,0,0,0
639,Slow,slow216,242.9896106224715,0,0,0,0,0,0
640,Dangerous,dang217,744.7535411394572,50,6,41,0,3,0
641,Normal,normal218,6799.940113570569,0,0,0,0,0,0
642,Slow,slow217,744.2279839584414,0,0,0,0,0,0
643,Dangerous,dang218,6798.1562234691,128,126,0,1,0,1
644,Slow,slow218,6806.877298242399,1,0,0,0,0,1
645,Normal,normal220,4293.441696829495,7,7,0,0,0,0
646,Dangerous,dang220,4313.486613290571,69,32,17,4,15,1
647,Normal,normal221,3786.9698032119813,45,43,0,0,0,2
648,Slow,slow220,4294.612155408964,5,3,0,0,0,2
649,Dangerous,dang221,3795.4793427634963,111,53,52,1,5,0
650,Normal,normal222,3170.9640290254124,0,0,0,0,0,0
651,Slow,slow221,3792.646735888682,0,0,0,0,0,0
652,Dangerous,dang222,3171.335876330835,66,13,48,0,2,3
653,Normal,normal223,936.1892655956356,3,2,0,0,0,1
654,Slow,slow222,3162.5274448381174,0,0,0,0,0,0
655,Dangerous,dang223,934.4374961428686,55,5,42,4,3,1
656,Normal,normal224,3494.1014195932153,3,1,0,0,0,2
657,Slow,slow223,941.8724948384214,0,0,0,0,0,0
658,Dangerous,dang224,3504.3631728804226,153,98,53,0,2,0
659,Normal,normal225,4545.687961331109,3,1,0,0,0,2
660,Dangerous,dang225,4543.341752059734,109,42,17,0,49,1
661,Slow,slow224,3501.0754271411356,0,0,0,0,0,0
662,Slow,slow225,4542.844987099609,0,0,0,0,0,0
663,Normal,normal226,2149.5947738994737,1,1,0,0,0,0
664,Dangerous,dang226,2147.9647745719076,47,2,26,1,18,0
665,Slow,slow226,2155.5968873522284,0,0,0,0,0,0
666,Normal,normal228,4382.3352817018995,2,2,0,0,0,0
